#Transcript position	Transcript coverage profile
0.0	4386.86376486041
1.0	4950.007919311431
2.0	5254.738194167944
3.0	5506.542274739111
4.0	5716.746193270587
5.0	6648.5386147324325
6.0	8289.394879443129
7.0	9665.972842113119
8.0	9360.481396382946
9.0	9259.481364554513
10.0	9884.216680933507
11.0	11080.938122124195
12.0	17050.765006382637
13.0	19357.030672234643
14.0	19371.444126727572
15.0	20700.537196064957
16.0	22252.48845611643
17.0	22089.641542800775
18.0	22829.548813398767
19.0	22741.08392634442
20.0	23408.55505385714
21.0	25328.351972841887
22.0	27630.069603445292
23.0	29155.76909279043
24.0	31181.875385936688
25.0	34186.434642286906
26.0	37477.59954841182
27.0	41215.53817207454
28.0	42878.69489711665
29.0	49984.04039864469
30.0	55541.13361514027
31.0	57077.37926661493
32.0	58776.08587637866
33.0	56048.00361908148
34.0	55228.684588566335
35.0	61036.283768118636
36.0	66803.05783559899
37.0	79894.06992205254
38.0	77735.61554875177
39.0	76129.71465489393
40.0	78919.60975746243
41.0	79695.63450895135
42.0	85288.15905943695
43.0	91918.83257826154
44.0	84857.89504935128
45.0	83248.82445742728
46.0	83271.4152183688
47.0	88648.82366338262
48.0	83971.31055140561
49.0	78335.26838238133
50.0	80312.83938142279
51.0	83158.09694013992
52.0	82722.13421889546
53.0	84018.29975071353
54.0	84244.92308629453
55.0	85972.22321305431
56.0	85548.2389302189
57.0	84404.39218142781
58.0	84527.39291776756
59.0	90244.0349904578
60.0	92432.97467979297
61.0	98279.35638901059
62.0	116065.09278703136
63.0	119418.4418391268
64.0	121648.37932493688
65.0	123748.67086544738
66.0	130487.33952727063
67.0	142855.48316694875
68.0	151783.21719703393
69.0	164808.3906784151
70.0	172936.99425250094
71.0	171132.72416868995
72.0	180990.14870758224
73.0	194903.04495024725
74.0	213327.78373512416
75.0	234553.03155519045
76.0	251590.62453641993
77.0	272889.57464925654
78.0	290086.5240723298
79.0	312624.2925477706
80.0	324756.8468660066
81.0	336538.91420590127
82.0	334154.59451709525
83.0	326319.27371698804
84.0	316796.97101325385
85.0	307750.42930548894
86.0	289121.0809026358
87.0	277677.9630951917
88.0	274110.04287197586
89.0	264471.1032531865
90.0	250944.93275027277
91.0	227154.49507542115
92.0	219822.70137231413
93.0	191076.82200505867
94.0	167047.4076166879
95.0	158710.65603003843
96.0	182520.96261583804
97.0	188081.03541949939
98.0	82418.05311767872
99.0	13015.115559117223
