#Transcript position	Transcript coverage profile
0.0	7748.439825227627
1.0	10006.467839838426
2.0	10358.685830095546
3.0	11141.355549914728
4.0	12141.178806299133
5.0	13906.522133899858
6.0	16450.722985425833
7.0	18108.810602909914
8.0	17869.988387838563
9.0	18098.465252070317
10.0	18972.425047594177
11.0	21043.175741390864
12.0	27983.140779537316
13.0	30292.127321015734
14.0	30224.76106554968
15.0	31647.02543575148
16.0	33218.64363959343
17.0	33929.465991758436
18.0	35175.04311009645
19.0	35731.48270079773
20.0	36529.747635251864
21.0	38921.845911882796
22.0	41713.66896058494
23.0	43774.973490100245
24.0	46576.41479527651
25.0	49948.6271011865
26.0	53763.697741904914
27.0	57980.91541482601
28.0	59963.34740382503
29.0	68196.10103849154
30.0	74646.99143070585
31.0	76435.65974340776
32.0	78973.46921314405
33.0	77117.93057513837
34.0	77599.23266308391
35.0	84339.02649121497
36.0	90786.08301358986
37.0	104366.25712607914
38.0	102890.12247732915
39.0	102191.56746039691
40.0	106478.69386119122
41.0	108116.47971722732
42.0	114720.39661940557
43.0	121914.46912208383
44.0	115174.9850024131
45.0	114377.72921062588
46.0	115543.2884454337
47.0	121908.10711778988
48.0	117873.23065273293
49.0	112981.03212314915
50.0	115694.48286402413
51.0	118536.62493186216
52.0	119241.29195256987
53.0	121565.91696513137
54.0	123877.26159173228
55.0	127497.32794353431
56.0	127538.9218707363
57.0	127518.14367069016
58.0	129730.60393522642
59.0	137613.49564322125
60.0	141922.62766182568
61.0	149616.2024890417
62.0	170120.09421148832
63.0	175667.5037533641
64.0	180424.16612347693
65.0	184415.90731032786
66.0	193231.93112273657
67.0	209253.12215440292
68.0	221789.7541591988
69.0	237525.4874252929
70.0	248282.56571492183
71.0	248700.59449356885
72.0	261167.64605869644
73.0	279825.8851882284
74.0	302030.554968233
75.0	327303.2536064385
76.0	348804.5795074692
77.0	373606.2457265273
78.0	396342.47060027474
79.0	424381.7446443597
80.0	442265.9609660656
81.0	460528.2527231445
82.0	467524.21083258826
83.0	469032.11906047154
84.0	466019.924653073
85.0	464899.1815530798
86.0	455043.94412162795
87.0	450295.885557785
88.0	452628.2879977727
89.0	447148.4087872535
90.0	437818.8643451617
91.0	416690.494221812
92.0	408434.43346545
93.0	373388.94036603917
94.0	337003.6133581558
95.0	310073.93659137643
96.0	307135.73514897673
97.0	277974.5943750169
98.0	131970.36493617357
99.0	25407.538047555245
