#Transcript position	Transcript coverage profile
0.0	5380.142890976513
1.0	5777.314832749946
2.0	5525.160185473005
3.0	5022.1374433399515
4.0	5000.143797841752
5.0	6053.597998886193
6.0	7727.0224253016095
7.0	9078.562572751394
8.0	8642.079101524218
9.0	8628.495222506155
10.0	8963.987800099942
11.0	10434.38177448439
12.0	15730.876659184725
13.0	17318.643891050353
14.0	17669.51739383543
15.0	19051.066058084016
16.0	20886.278370087217
17.0	20458.932116215965
18.0	21794.75611555673
19.0	21783.984611213014
20.0	22373.54964939663
21.0	25295.70178630473
22.0	27227.280787507618
23.0	28245.27001743444
24.0	29933.979742689815
25.0	33112.93741887064
26.0	35805.07219516717
27.0	39365.89859590711
28.0	41327.6905848218
29.0	49926.958121572665
30.0	54884.89977987107
31.0	56619.52612260223
32.0	58508.649252606374
33.0	55158.039175480735
34.0	54196.70959591565
35.0	60449.614000292284
36.0	66489.92156134607
37.0	79988.4277843568
38.0	77109.2668997714
39.0	74335.4847930571
40.0	76877.05539104607
41.0	79139.82849048154
42.0	85221.08613337143
43.0	92141.72355239965
44.0	84359.22555788235
45.0	83136.70314464177
46.0	83202.4300102484
47.0	88193.6201690468
48.0	82742.41070692688
49.0	77256.38665464325
50.0	78547.04547376196
51.0	81627.12384656369
52.0	82353.01273534968
53.0	84765.44573006057
54.0	84990.39516896506
55.0	87099.1703753396
56.0	86373.60908320935
57.0	85148.46263175255
58.0	84600.03900875046
59.0	89143.66915459734
60.0	90956.92090729414
61.0	97111.56661846684
62.0	115401.76973347143
63.0	120406.46603665643
64.0	123081.57526163459
65.0	125300.3481674742
66.0	131077.6078122055
67.0	143738.39586426588
68.0	152904.671034617
69.0	166981.28507653484
70.0	175552.11962534252
71.0	173131.48561027058
72.0	181154.3537339472
73.0	193296.8763997257
74.0	211238.0664752626
75.0	232578.66824627505
76.0	250152.74086334617
77.0	271605.7697007801
78.0	290558.8783093689
79.0	313812.67435105896
80.0	327544.09989234025
81.0	339154.610244337
82.0	335001.13419575064
83.0	328130.7723908664
84.0	317713.53811485175
85.0	309613.89158803044
86.0	291372.6206662743
87.0	279286.56311820965
88.0	276815.0487427213
89.0	266539.86181678553
90.0	252144.21815313713
91.0	229179.61585515257
92.0	224152.57840923025
93.0	196181.96121742198
94.0	171714.48364602122
95.0	163292.11265574445
96.0	187416.9707298864
97.0	190932.7362338851
98.0	85135.46179733802
99.0	14034.483659810296
