#Transcript position	Transcript coverage profile
0.0	9463.16337317686
1.0	10951.805900108226
2.0	10749.60368357026
3.0	10867.087869991678
4.0	11569.346894282533
5.0	13366.627145218688
6.0	15735.136663960628
7.0	17323.6697368251
8.0	17064.91027563526
9.0	17101.188655874867
10.0	17749.93432412073
11.0	20089.488079017356
12.0	26216.739662541524
13.0	28159.928882124987
14.0	28343.903424036736
15.0	29855.006038107425
16.0	31808.454478037667
17.0	32095.278774092905
18.0	33874.71301966254
19.0	34509.04463061142
20.0	35117.91013886674
21.0	38397.011978910865
22.0	40680.14098802131
23.0	42343.21879496749
24.0	44866.2896951864
25.0	48294.49844199617
26.0	51395.417292232945
27.0	55558.40306073952
28.0	57954.49507966135
29.0	67498.80326642375
30.0	73364.14302859074
31.0	75311.82965058135
32.0	78149.47813818496
33.0	75522.99327992977
34.0	75817.05808488604
35.0	83034.44229108955
36.0	89866.56557088293
37.0	103878.56649184295
38.0	101688.06257294079
39.0	99841.42569971834
40.0	104073.12044079552
41.0	107447.85101492974
42.0	114518.31621136422
43.0	121953.15206210443
44.0	114537.69595542033
45.0	114009.74804667658
46.0	115135.88579777023
47.0	121027.17276391322
48.0	116249.2067582561
49.0	111936.77241526752
50.0	115013.39469313945
51.0	117883.21990952415
52.0	118770.56448412279
53.0	121935.60715928586
54.0	124230.32967586843
55.0	128275.38952768175
56.0	127956.20951795616
57.0	127806.54730614136
58.0	129453.07446016344
59.0	136232.7887320808
60.0	139972.2271723552
61.0	148431.10300365614
62.0	170475.78326698593
63.0	176482.43983127642
64.0	180416.76115274592
65.0	184381.64049295514
66.0	192312.90225149773
67.0	208799.98528400468
68.0	221784.96171041156
69.0	238707.62921554616
70.0	250112.25766908377
71.0	250185.57469681636
72.0	261164.5756366155
73.0	278133.91598162986
74.0	299870.1086750218
75.0	325457.7671329091
76.0	347572.6666019891
77.0	372441.7770304529
78.0	396271.79270079924
79.0	425011.48096420354
80.0	444456.44056278164
81.0	462330.3657533769
82.0	467247.7180871668
83.0	469415.9265472187
84.0	465484.90566449333
85.0	465135.17939430947
86.0	455531.6446505553
87.0	450486.1503777382
88.0	454142.1033963031
89.0	448543.9062190426
90.0	438548.6681347828
91.0	418210.9240329201
92.0	411597.3159569377
93.0	377351.6014771839
94.0	340438.20990153326
95.0	313205.1373473639
96.0	310316.14270240715
97.0	280980.89090633625
98.0	134277.0732984002
99.0	26547.67541616986
