#Transcript position	Transcript coverage profile
0.0	3542.304256556361
1.0	3831.248347344275
2.0	3594.553999228022
3.0	3381.923238518005
4.0	3326.910961849655
5.0	4025.443820799496
6.0	5578.1172873325495
7.0	6981.55928152162
8.0	6334.636811959875
9.0	6061.983380640694
10.0	6135.544142769912
11.0	7435.117767438934
12.0	11939.437797286675
13.0	13354.928632501113
14.0	13676.50609433758
15.0	15221.693641408969
16.0	17071.04070170037
17.0	16931.146812053343
18.0	18026.829505728456
19.0	17739.650858692614
20.0	18105.026877036238
21.0	21129.112654122633
22.0	23001.273847817436
23.0	24508.917952493903
24.0	25819.362990039514
25.0	28391.70150672121
26.0	30908.958245409394
27.0	34123.78884578067
28.0	36061.03821117615
29.0	44385.16384258175
30.0	49234.57839985844
31.0	51082.45830035137
32.0	52877.3383785221
33.0	49270.23401413312
34.0	48041.28049362018
35.0	52632.36292413857
36.0	56970.214287155184
37.0	67369.98792977417
38.0	63749.10944885774
39.0	64999.780063719976
40.0	68845.19607426536
41.0	70809.98942434617
42.0	76546.68149246639
43.0	80934.7092708695
44.0	73692.40367068356
45.0	71646.86504387947
46.0	72341.88160035071
47.0	78183.98078139301
48.0	74512.48441345153
49.0	69078.72082348364
50.0	70300.87331435777
51.0	73316.10361589209
52.0	74565.72146788499
53.0	77080.5566690326
54.0	78002.43027537133
55.0	79997.10841304698
56.0	79318.50000450894
57.0	77502.86163436067
58.0	77768.15286779449
59.0	81727.72144624246
60.0	83358.68925226678
61.0	88454.01908242448
62.0	102906.44677822584
63.0	107075.30254899262
64.0	110854.72305803253
65.0	114683.22654704397
66.0	122019.34231822578
67.0	134444.64981457326
68.0	143249.83090143595
69.0	155790.65892743503
70.0	163095.88871721743
71.0	161447.03484038453
72.0	169015.7047999064
73.0	180447.66916130646
74.0	197074.1744864479
75.0	216740.00804832176
76.0	233994.69399690386
77.0	253582.84216431092
78.0	269972.7664932409
79.0	289543.3067891389
80.0	302451.78629815247
81.0	312900.8783219933
82.0	310806.8341227148
83.0	304048.25901119545
84.0	292937.43380581
85.0	283739.96219734557
86.0	266374.659096942
87.0	255932.44555578727
88.0	253913.49693114415
89.0	243776.37505731953
90.0	228043.6450018635
91.0	204267.73355864504
92.0	197665.84833598862
93.0	171658.31899457835
94.0	149831.53442820255
95.0	143949.1346070439
96.0	169415.72424738508
97.0	176845.2779662401
98.0	74724.4245163151
99.0	11608.695315195428
