#Transcript position	Transcript coverage profile
0.0	5947.596449149973
1.0	7238.929336508382
2.0	7258.579651692442
3.0	7507.084149181828
4.0	8302.26501275611
5.0	9758.230329083432
6.0	11755.021848430746
7.0	13506.386650179838
8.0	12986.761433965354
9.0	12971.093736967816
10.0	13473.290090918901
11.0	15290.998255778777
12.0	20219.696928420064
13.0	22111.79270640265
14.0	22591.377071789175
15.0	24199.502418622033
16.0	26091.987909362673
17.0	26397.06192428535
18.0	27873.45268668264
19.0	28139.767574975347
20.0	28743.750809606372
21.0	32089.008097032165
22.0	34304.40023591745
23.0	36252.75093584551
24.0	38322.20132869869
25.0	41380.60807431894
26.0	44275.01901769519
27.0	47878.67993883582
28.0	50067.26612588623
29.0	58921.160798784105
30.0	64308.47460080557
31.0	66487.65044443609
32.0	68807.76851806346
33.0	65664.2165554758
34.0	65503.4087423492
35.0	70830.09578322741
36.0	75978.6483288165
37.0	86962.61145857172
38.0	84015.92418370841
39.0	86025.90005219178
40.0	91357.8542102659
41.0	94026.20112752532
42.0	100724.2855104322
43.0	105668.67453117776
44.0	98581.17349298748
45.0	96998.6875647037
46.0	98246.97778966464
47.0	104952.173279539
48.0	101859.80974716971
49.0	97060.33104375351
50.0	100186.991235111
51.0	102778.26837495233
52.0	103791.24975169553
53.0	107058.13719143701
54.0	109596.2732044856
55.0	113665.00408173601
56.0	113516.97536175825
57.0	112495.11401668578
58.0	114462.7255894666
59.0	120045.625787046
60.0	123341.13319710876
61.0	130808.76857678952
62.0	148496.49637408045
63.0	153585.40208031132
64.0	158092.3486981369
65.0	163473.14255884182
66.0	172594.56458652692
67.0	188319.81485607353
68.0	200517.84834035297
69.0	216112.7854846706
70.0	226561.4867389598
71.0	227158.1270198426
72.0	237186.36425758712
73.0	252497.67263796754
74.0	272975.2453036602
75.0	297089.66424140567
76.0	318135.63813416817
77.0	340703.1343838406
78.0	361083.7940851608
79.0	385279.38018847245
80.0	403776.5000138768
81.0	420050.20278643374
82.0	425972.705670301
83.0	427463.5955696446
84.0	422519.9515122522
85.0	420674.3198188846
86.0	410435.4510426766
87.0	406121.1149446388
88.0	409148.4873807467
89.0	402128.0652475327
90.0	388430.58573897043
91.0	366320.02097468416
92.0	356663.47186923824
93.0	322307.18967058056
94.0	287284.38183094334
95.0	263530.9552674648
96.0	264380.7764214782
97.0	243532.78397715028
98.0	109739.73651316107
99.0	20356.28090988878
