#Transcript position	Transcript coverage profile
0.0	741.7622294698392
1.0	830.2049744467546
2.0	884.8065833897101
3.0	913.5105862563312
4.0	925.5559727577617
5.0	1095.3874345224408
6.0	1267.6778840294114
7.0	1438.9560785988717
8.0	1437.5626322784879
9.0	1413.2074833380866
10.0	1633.4837166541743
11.0	1816.5339159342193
12.0	2809.974124549392
13.0	3190.331772986125
14.0	3195.521299576076
15.0	3705.8527323444423
16.0	4044.0634959538224
17.0	4049.4809377925053
18.0	4189.99075361728
19.0	4280.824216127681
20.0	4320.444829733767
21.0	4576.730317580222
22.0	4774.095166800262
23.0	4867.52906441972
24.0	4987.9901367204375
25.0	5307.740169461182
26.0	5679.006304261392
27.0	6042.949206600134
28.0	6420.648900891507
29.0	7712.815318541516
30.0	8463.631119551163
31.0	8742.168672807087
32.0	8847.935251364574
33.0	8817.930872445739
34.0	8987.993296406927
35.0	9469.600224792233
36.0	9925.644150876908
37.0	10472.239808915218
38.0	10474.354734529441
39.0	10265.544479883332
40.0	10260.397448793416
41.0	10058.758702291658
42.0	10282.200688382292
43.0	11040.375818154995
44.0	11229.043204160567
45.0	11498.34634123852
46.0	11618.868578104757
47.0	11894.723783075548
48.0	12453.553750128569
49.0	12989.217952569717
50.0	13109.731244966735
51.0	13215.491105280084
52.0	13224.507995823598
53.0	14648.901076497159
54.0	14494.219240460323
55.0	14418.96989502144
56.0	14288.418108501057
57.0	14292.915569646744
58.0	16435.516144426005
59.0	17960.267362774597
60.0	18876.162636462162
61.0	19931.351667833795
62.0	21596.12969994408
63.0	21638.423510344077
64.0	21210.415130678266
65.0	21380.251110312278
66.0	22174.31485736848
67.0	23440.942320305163
68.0	24672.78581924157
69.0	25702.610244023566
70.0	26633.193237774296
71.0	26351.805690566198
72.0	27142.323650374776
73.0	28570.013972060646
74.0	29809.39385750385
75.0	32408.529447302557
76.0	33680.95646110052
77.0	34922.437737825065
78.0	37054.70409264907
79.0	38714.20227971963
80.0	39482.67781053317
81.0	40765.35514892244
82.0	40565.17234114489
83.0	40141.09236852476
84.0	40197.87801691204
85.0	40325.89516426354
86.0	39233.81043078712
87.0	37867.54123916661
88.0	36973.83776983588
89.0	36066.72097583054
90.0	33816.375144720616
91.0	31163.95086872933
92.0	30871.03139455973
93.0	31461.225161400645
94.0	31352.858746731643
95.0	27611.39985975023
96.0	23409.36013040689
97.0	18704.350309928453
98.0	8175.06673798638
99.0	1598.5878405898222
