#Transcript position	Transcript coverage profile
0.0	1198.3271906097812
1.0	1565.7604750482635
2.0	1605.1907056117936
3.0	1767.7971122265537
4.0	1930.1046700479217
5.0	2177.3895208786194
6.0	2415.4555559213127
7.0	2675.7940211457767
8.0	2697.2040156036874
9.0	2752.502077253579
10.0	3060.346254167589
11.0	3334.2191717302912
12.0	4410.043316709511
13.0	4874.35422442949
14.0	4929.8043189696
15.0	5448.283638206871
16.0	5792.18383363048
17.0	5909.45617011411
18.0	6094.251110001037
19.0	6286.378315216914
20.0	6333.155138259242
21.0	6701.900628873575
22.0	6979.0319467742565
23.0	7203.671333606172
24.0	7469.055506295076
25.0	7885.859986610386
26.0	8405.916592199042
27.0	8968.84980596136
28.0	9443.321930970855
29.0	10806.910510923499
30.0	11613.867108134249
31.0	12031.179999769714
32.0	12472.474275086031
33.0	12590.205005427502
34.0	12849.444323210806
35.0	13426.781209892957
36.0	13943.926284676436
37.0	14518.152339027185
38.0	14618.580512714638
39.0	14578.354829082135
40.0	14746.836792094167
41.0	14639.083314657077
42.0	14945.669971719004
43.0	15783.714039169987
44.0	16096.654759368266
45.0	16506.98467920842
46.0	16811.797068691907
47.0	17239.4917757427
48.0	17883.385272839234
49.0	18561.867485205417
50.0	18791.939138040863
51.0	18962.80767901861
52.0	19188.34916525026
53.0	20754.26330450071
54.0	20757.691417811773
55.0	20902.8268979746
56.0	20854.219155304607
57.0	20992.285630656228
58.0	23460.816227158022
59.0	25324.353337841723
60.0	26553.920666195947
61.0	27783.193290384883
62.0	29872.933283493552
63.0	30387.773805508637
64.0	30341.169151130653
65.0	30914.53841903511
66.0	32033.731935238215
67.0	33769.19486635057
68.0	35386.67744887601
69.0	36845.88496089811
70.0	38103.9729306193
71.0	38240.05637752024
72.0	39476.611077002
73.0	41561.98889481883
74.0	43141.33621923972
75.0	46192.408786873566
76.0	47970.63294870553
77.0	49832.96698741894
78.0	52894.9868978262
79.0	55450.915823509036
80.0	57072.612469555956
81.0	59450.70381927568
82.0	60526.80130524082
83.0	61256.021120044104
84.0	62152.48971738086
85.0	63142.54047057748
86.0	63031.4509470827
87.0	62355.25925847281
88.0	62361.0327794814
89.0	61989.48030726438
90.0	60748.467432591824
91.0	58721.10819159769
92.0	58910.40768050486
93.0	58310.1569802055
94.0	56412.82619042136
95.0	50188.80622831325
96.0	42301.91253434081
97.0	32586.078831211005
98.0	16161.630693419631
99.0	3633.3954542715364
