#Transcript position	Transcript coverage profile
0.0	926.9037808443964
1.0	985.8003068577929
2.0	933.1993018540148
3.0	860.6730622096833
4.0	875.5290960570355
5.0	1061.4164884838372
6.0	1208.101967135572
7.0	1352.3243405838393
8.0	1336.6323701151723
9.0	1288.8537360482644
10.0	1488.2755092772225
11.0	1703.4376469957922
12.0	2494.2481948189047
13.0	2829.5087792687027
14.0	2880.507007756436
15.0	3438.9126561953867
16.0	3812.7048452525282
17.0	3809.161752955705
18.0	4067.1382213893144
19.0	4176.292172321468
20.0	4210.59524006541
21.0	4679.31747393118
22.0	4793.98387547265
23.0	4887.546450282913
24.0	4951.053167828205
25.0	5274.638675292306
26.0	5588.677403276366
27.0	5900.445189871797
28.0	6321.814252459874
29.0	7947.075734319876
30.0	8651.253789940876
31.0	8885.848237057513
32.0	8969.785198192869
33.0	8820.665813452442
34.0	8841.82242954996
35.0	9383.056086362107
36.0	9879.24495046146
37.0	10394.328682211582
38.0	10343.118471340324
39.0	10095.31410631128
40.0	10090.96484717732
41.0	10126.134127720754
42.0	10507.600850792891
43.0	11405.948727809744
44.0	11523.740726235505
45.0	11804.36038742755
46.0	11827.126416429372
47.0	12004.958757792552
48.0	12491.071576762348
49.0	12999.870471414659
50.0	13071.210666565517
51.0	13175.34585282488
52.0	13301.421007236298
53.0	14856.810062109518
54.0	14757.43067750708
55.0	14902.23795082035
56.0	14763.038246650896
57.0	14695.720879859526
58.0	16594.964792387615
59.0	18101.708665335635
60.0	19085.83985752448
61.0	20099.331131504026
62.0	21878.73266683371
63.0	22221.842567317985
64.0	21735.453074563095
65.0	22014.12503637257
66.0	22853.663869894965
67.0	24363.575454604208
68.0	25570.308143921568
69.0	26560.663592638284
70.0	27315.37785929125
71.0	26681.02522901575
72.0	27124.499768234615
73.0	27990.5046423583
74.0	29160.318734703826
75.0	31538.762178946494
76.0	32822.112476023634
77.0	34022.86159515763
78.0	36101.417973684445
79.0	37863.08303870018
80.0	38837.504513171945
81.0	40379.68531853202
82.0	40122.61258636944
83.0	40102.77405710198
84.0	39619.679978643144
85.0	40064.82830106576
86.0	39149.44333651692
87.0	37863.42794707085
88.0	37256.314701224765
89.0	36363.372484331165
90.0	34140.927727835595
91.0	31649.22871599098
92.0	31774.272984952204
93.0	32487.929525100906
94.0	32319.942409489886
95.0	28295.43015897415
96.0	23770.280597081543
97.0	18622.562072398792
98.0	8116.833720313448
99.0	1662.7507772925508
