#Transcript position	Transcript coverage profile
0.0	1532.3194520504805
1.0	1760.906167605311
2.0	1677.2616571820133
3.0	1743.524822266304
4.0	1872.4144983870513
5.0	2110.0044859685013
6.0	2313.1176506935376
7.0	2549.430423776003
8.0	2577.3133009086546
9.0	2616.534484409663
10.0	2891.2815934580185
11.0	3195.3117789731564
12.0	4091.910348319385
13.0	4522.860525520275
14.0	4609.381158551047
15.0	5177.164588041255
16.0	5564.489890408787
17.0	5629.229672333317
18.0	5910.871475758893
19.0	6076.212689601616
20.0	6075.7312364295685
21.0	6666.2187952958075
22.0	6848.817829540014
23.0	7057.527560762173
24.0	7260.016304657217
25.0	7674.809928349685
26.0	8125.313688671038
27.0	8670.619800911263
28.0	9208.663582083429
29.0	10897.15934157552
30.0	11637.236321659835
31.0	11957.675393624319
32.0	12328.262095831638
33.0	12346.756459484652
34.0	12553.365579434207
35.0	13241.080524547791
36.0	13837.044951829967
37.0	14396.96958175041
38.0	14460.790669658578
39.0	14359.465411837817
40.0	14555.86838254463
41.0	14697.605198686466
42.0	15159.601106195041
43.0	16135.606815875975
44.0	16379.529775770701
45.0	16774.834602118757
46.0	16997.930079067482
47.0	17302.787536967993
48.0	17871.63956776747
49.0	18577.25543641433
50.0	18807.76753292203
51.0	18952.583236960927
52.0	19245.338391740457
53.0	20923.129411707505
54.0	20923.77245592642
55.0	21275.031827623472
56.0	21246.306206992766
57.0	21328.67778271107
58.0	23597.073038386283
59.0	25470.93048754459
60.0	26717.281808545584
61.0	27981.75700555948
62.0	30355.209419204577
63.0	31002.652655949743
64.0	30654.995373193975
65.0	31305.844369658837
66.0	32489.254705350017
67.0	34451.98027829237
68.0	36070.43076156269
69.0	37483.14100581931
70.0	38580.86991640813
71.0	38380.75364486064
72.0	39327.66987631154
73.0	40930.48120636886
74.0	42439.892142689496
75.0	45402.25046858948
76.0	47315.140182465046
77.0	49161.98224604446
78.0	52120.20458633435
79.0	54761.012718518934
80.0	56490.666166967676
81.0	59050.96267479413
82.0	59982.01174693332
83.0	61109.18109510161
84.0	61506.399307012674
85.0	62796.967376687426
86.0	62896.86572235984
87.0	62374.68705193084
88.0	62726.738193115845
89.0	62378.487952244286
90.0	61012.72172042416
91.0	59079.02483008201
92.0	59741.29546653143
93.0	59402.05386374495
94.0	57621.196294016845
95.0	51196.932631145224
96.0	43074.00736255502
97.0	33193.90758036418
98.0	16550.250100401096
99.0	3833.5508261857963
