#Transcript position	Transcript coverage profile
0.0	602.3072073392209
1.0	655.6255012920623
2.0	612.8089731144926
3.0	599.3814814535618
4.0	599.9046088272336
5.0	714.4399769134086
6.0	836.5989387438033
7.0	965.1060373475402
8.0	908.5325471068161
9.0	851.0234434638776
10.0	884.8181872807371
11.0	1032.21853237534
12.0	1702.701226834458
13.0	2082.77571302998
14.0	2121.2390421274317
15.0	2642.918774763849
16.0	3020.3675864892584
17.0	3038.3413576815356
18.0	3235.1958374292512
19.0	3258.5998103174775
20.0	3276.458996924896
21.0	3804.1450174131874
22.0	3919.2613509475173
23.0	3984.534421515373
24.0	3958.5153530584694
25.0	4184.157457455682
26.0	4499.608211601824
27.0	4762.319399696574
28.0	5106.030714979084
29.0	6629.2879131836735
30.0	7408.27190733708
31.0	7656.300600746001
32.0	7696.292815009588
33.0	7532.929334733189
34.0	7511.328776160455
35.0	7857.687153007349
36.0	8198.623774546471
37.0	8428.660826490652
38.0	8236.476169095133
39.0	8235.746986023945
40.0	8301.09703493192
41.0	8260.244627529977
42.0	8535.867587415803
43.0	9215.764397676498
44.0	9397.419990196482
45.0	9711.441036308124
46.0	9869.899151939511
47.0	10149.238384921753
48.0	10750.701037944578
49.0	11251.855103848033
50.0	11314.501203867285
51.0	11401.631910304573
52.0	11568.405346840946
53.0	13068.872332484456
54.0	13187.684915941416
55.0	13289.150130483735
56.0	13125.023825438482
57.0	13028.69390782547
58.0	14958.524164096789
59.0	16224.418791685068
60.0	17104.860507659178
61.0	18121.835922719223
62.0	19817.733821520298
63.0	20021.52562359138
64.0	19479.961328304224
65.0	19820.48122776997
66.0	20774.235755625916
67.0	22098.63117476021
68.0	23070.1203279139
69.0	24262.622343961924
70.0	24976.34413566955
71.0	24521.2837749507
72.0	24833.83732379637
73.0	25713.48023090091
74.0	26680.297808990814
75.0	28798.117959970892
76.0	29972.683216124766
77.0	30793.65210642878
78.0	32511.532829710108
79.0	33560.15240976556
80.0	34361.90653830763
81.0	35661.12859127756
82.0	35478.21928813651
83.0	35432.47059735304
84.0	34733.42356479617
85.0	35009.99086993882
86.0	34025.843635544006
87.0	33225.84559721727
88.0	33086.083522132976
89.0	32073.93901474042
90.0	29681.480267449613
91.0	27312.32580006473
92.0	26984.34181865605
93.0	27421.380254996504
94.0	27429.280938414984
95.0	24254.85058362234
96.0	19734.28670932761
97.0	15678.850760397772
98.0	6439.598490651457
99.0	1282.1915403916337
