#Transcript position	Transcript coverage profile
0.0	869.972892758797
1.0	1068.6710629515019
2.0	1060.604831520537
3.0	1155.5092564747063
4.0	1304.6640666746644
5.0	1474.778781820755
6.0	1624.031848062716
7.0	1870.3574603471006
8.0	1865.0888950253986
9.0	1899.0180477820475
10.0	1997.3044464765749
11.0	2201.116936360092
12.0	2921.077807337444
13.0	3374.64608019853
14.0	3461.64624653885
15.0	3988.2352285660295
16.0	4382.259284825388
17.0	4435.272373906032
18.0	4647.674242283601
19.0	4694.011642009851
20.0	4727.956286765747
21.0	5361.056367951877
22.0	5540.662213989198
23.0	5695.269657278304
24.0	5818.24753935077
25.0	6125.909169497997
26.0	6547.343723388773
27.0	6969.851137297354
28.0	7369.149609577217
29.0	8900.29537544676
30.0	9660.483692263258
31.0	9979.11807208982
32.0	10169.110608393541
33.0	10117.166368717575
34.0	10293.552793147994
35.0	10733.621304906774
36.0	11166.811049158938
37.0	11440.68115211105
38.0	11343.736991535734
39.0	11493.605896183813
40.0	11701.62509626454
41.0	11737.55799344866
42.0	12114.176840175864
43.0	12845.652149084819
44.0	13069.824903399345
45.0	13478.857292310866
46.0	13744.692520854727
47.0	14127.971380825104
48.0	14791.93671214306
49.0	15375.334061624626
50.0	15589.711056036786
51.0	15733.142113782711
52.0	15971.875935806258
53.0	17578.98370003914
54.0	17825.289370129718
55.0	18149.146728484022
56.0	18057.78168982291
57.0	18052.21486017235
58.0	20275.465435359278
59.0	21755.417881958238
60.0	22820.07380759827
61.0	24061.045886361942
62.0	26091.327721508685
63.0	26629.657454446
64.0	26369.820589579413
65.0	27052.763230679808
66.0	28323.576082027394
67.0	30086.506546924946
68.0	31423.22316621895
69.0	33038.33699592813
70.0	34150.692137500824
71.0	34038.67593509083
72.0	34718.78288392325
73.0	36162.750878204104
74.0	37502.06924911517
75.0	40135.995668308904
76.0	41805.61443401787
77.0	43141.401493556135
78.0	45539.03186787053
79.0	47295.08254270227
80.0	48880.70188157671
81.0	51066.55755694597
82.0	52008.61370292847
83.0	52933.65439943024
84.0	52997.29781369346
85.0	53991.533862675846
86.0	53706.87933463824
87.0	53535.605584647914
88.0	53974.43112016541
89.0	53262.614272038176
90.0	51090.36347762039
91.0	49069.800534627306
92.0	49083.14065253398
93.0	48084.18972536348
94.0	46311.69232198682
95.0	40986.09277725126
96.0	33392.72198784938
97.0	25597.177605792906
98.0	11848.709940533145
99.0	2613.0174502424225
